bransje,navn,orgnr,adresse,postnr,poststed,stiftet
Frisører,0-STRESS FRISØR AS,923271805,Dragsundvegen 6,6080,GURSKØY,2019-06-28
Frisører,10NA'S FRISØR AS,818874502,Skytterveien 18,5038,BERGEN,2017-03-19
Frisører,180 DEGREES AS,935254329,Glommengata 33,2211,KONGSVINGER,2025-03-06
Frisører,2 ANNE FRISØR AS,997021126,Storgata 27B,4340,BRYNE,2011-05-26
Frisører,2 FRISØRER AS,992408766,Smedgata 30,1850,MYSEN,2008-02-25
Frisører,2 SAKSER AS,989348809,Vragesløyfen 163,4625,FLEKKERØY,2006-01-02
Frisører,22 GROUP AS,937263686,Vestre Strandgate 24B,4611,KRISTIANSAND S,2026-02-17
Frisører,26 CUTZ AS,935428238,Glengsgata 29,1706,SARPSBORG,2025-03-14
Frisører,2BEAUTY SALONG - SOUZA DE OLIVEIRA,913593529,Kvellurveien 70,4319,SANDNES,
Frisører,2ND FLOOR STUDIO AS,934144112,Breigata 16,4006,STAVANGER,2024-09-18
Frisører,3442 FRISØR AS,924571403,Lavaløkka 38,3442,HYGGEN,2020-01-30
Frisører,3D FRISØR ABDIKANI,935018994,Haraldsgata 82,5528,HAUGESUND,
Frisører,4 YOU BARBERSHOP AS,836407792,"c/o Eco Finans Fredrikstad AS, Stabburveien 7",1617,FREDRIKSTAD,2025-10-15
Frisører,4 YOU FRISØR SHAMAL SHERIFF,912758737,Leegaards gate 10,1607,FREDRIKSTAD,
Frisører,5T STYLE AS,926677845,Gamlevegen 89B,2615,LILLEHAMMER,2021-02-03
Frisører,9-1-1 NAILS & BEAUTY KAROLINA SZERKUS,928226506,Svingen 25,1860,TRØGSTAD,
Frisører,A COSTA SAKS AS,983422918,Industriveien 2,1337,SANDVIKA,2001-05-09
Frisører,A K DAME OG HERREFRISØR AS,825554432,Eggedalsveien 1500,3359,EGGEDAL,2020-08-09
Frisører,A M FRISØR AS,932747154,St. Olavs gate 31,0166,OSLO,2023-11-27
Frisører,A-R FRISØR ALALI,937676573,Skallumjordet 19,1368,STABEKK,
Frisører,A.G.SEVLAND HÅRSTUDIO,990824487,Fleslandvegen 20,4250,KOPERVIK,
Frisører,A.J__CUTZZ JAMSHAID,936453228,Rosenholmveien 7,1255,OSLO,
Frisører,A&H FRISØR AS,825604502,Skjettenveien 2B,1466,STRØMMEN,2020-08-08
Frisører,A&T BARBER BY CHOCHLOVA,933325717,Ivar Aasens vei 23,1511,MOSS,
Frisører,A2 FRISØR OG MULTISERVICE AS,834340372,Nermoan 23,7334,STORÅS,2024-10-03
Frisører,AB KLIPP TRIADEN AS,931936948,"c/o Triaden Senter, Gamleveien 88",1461,LØRENSKOG,1982-03-01
Frisører,ABBAS,934318021,Pramveien 29,4624,KRISTIANSAND S,
Frisører,ABBAS PRESLEY FRISØR,935260205,Prinsens gate 6,3211,SANDEFJORD,
Frisører,ABC FRISØR CHAER,930988545,Brugata 17B,0186,OSLO,
Frisører,ABC HÅRSENTER V/ RANVEIG BRÅTEN,935626005,Askveien 3,3510,HØNEFOSS,
Frisører,ABC HÅRSENTER V/ASTRID NYMOEN,970102353,Aklangveien 16,3519,HØNEFOSS,
Frisører,ABDEL GHALIOUM FRISØR,933382729,Nonnegata 32C,7014,TRONDHEIM,
Frisører,ABDI LEVIN FRISØR 366,935178444,Meierigata 10,4340,BRYNE,
Frisører,ABDI LEVINN FRISØR 366 AS,937730888,Meierigata 10,4340,BRYNE,2026-05-05
Frisører,ABDI NASIR HUSSEIN ALI,937109016,Gruegata 15,0652,OSLO,
Frisører,ABDIRAHMAN HASSAN,933140229,Storgata 39,0182,OSLO,
Frisører,ABDU PROFRISØR,937109504,Skarvøyveien 41,4517,MANDAL,
Frisører,ABDULLAHI SAID MOHAMED,936404375,Vestfoldgata 4,0656,OSLO,
Frisører,ABDULSALAM SCANDI TASTE ENK,937013078,Slemmestadveien 643B,3470,SLEMMESTAD,
Frisører,ABEBA TESFAY FRISØR,937527985,Breigata 10,0187,OSLO,
Frisører,ABED BARBER SHOP AS,936130380,Tyinvegen 14,2900,FAGERNES,2025-07-22
Frisører,ABEL NAMSOS AS,984913710,Abel Meyers gate 10,7800,NAMSOS,2002-09-16
Frisører,ABELSETH FRISØR,919788569,Rådstugata 2,6003,ÅLESUND,
Frisører,ABIDAR RADA,978667791,Bakkeveien 2,1415,OPPEGÅRD,
Frisører,ABM HÅRDESIGN MOLVIK,986199756,Fyllingsnesvegen 125,5913,EIKANGERVÅG,
Frisører,ABO KERSHA ENK,935072395,Sollerudveien 28,0283,OSLO,
Frisører,ABOUDIS WORLD,936905900,Lofsrudhøgda 81a,1281,OSLO,
Frisører,ABRAHAM FRISØR IBRAHIM KHALIL IBRAHIM MUHARRAM,921719841,Sverresgate 9,3916,PORSGRUNN,
Frisører,"ABSÔLUTE BEAUTY STUDIO, BUNESCU",931763741,Jettegryta 71,1405,LANGHUS,
Frisører,ABSTRAKSJON BANASKIEWICZ,928908410,Økernveien 149,0580,OSLO,
Skjønnhetspleie,"""FAVORITE"" BEAUTY STUDIO BY YANA PAVLENKO",936306047,Langgata 64,4306,SANDNES,
Skjønnhetspleie,1010MICROBLADING NAMSOS THUNSUDA SIANGBUN KJELBOTN,919458666,St. Olavs gate 3,7800,NAMSOS,
Skjønnhetspleie,1820 SKIN CLINIC AS,929526678,Wilses vei 1A,1820,SPYDEBERG,2022-06-20
Skjønnhetspleie,1982 DIANA TIARI,923799753,Parkveien 64,0254,OSLO,
Skjønnhetspleie,2 SØSTRE - / BEATE BAKKE,999042147,Bedriftsvegen 65,3735,SKIEN,
Skjønnhetspleie,20NAILS&TATTOO CIESIELSKA,930295167,Øyragata 8,6887,LÆRDAL,
Skjønnhetspleie,2CE NAIL BEAUTY AS,832950602,Gamleveien 88,1461,LØRENSKOG,2024-01-24
Skjønnhetspleie,3C NAILS SALON NGUYEN,933760995,Ragnhild Schibbyes vei 26,0968,OSLO,
Skjønnhetspleie,3D LASHES AND NAILS IRYNA BOJKE,918123121,Neset 79D,5267,ESPELAND,
Skjønnhetspleie,3SH HABTE,929422686,Ole Brumms vei 26,0979,OSLO,
Skjønnhetspleie,4 DREAMS REMEZIENE,917288003,Wessels veg 2B,2005,RÆLINGEN,
Skjønnhetspleie,4BEAUTY BEATA GLICA,924023562,Symreveien 10,8450,STOKMARKNES,
Skjønnhetspleie,4U HAIR BODY STYLE AS,979896026,Vårveien 24,3024,DRAMMEN,1998-05-21
Skjønnhetspleie,5 ZENZES AS,817539602,Josefines gate 26,0351,OSLO,2016-07-21
Skjønnhetspleie,7TH HEAVEN SANDRA HOLM-JOHANSEN,920561446,Fagerholtveien 134,1765,HALDEN,
Skjønnhetspleie,92NAILBEAUTY HUYNH,934017811,Bekkenstenveien 40,0976,OSLO,
Skjønnhetspleie,A LASHES V/ AMY HUYNH,932436086,Brekkeveien 3C,1430,ÅS,
Skjønnhetspleie,A-CUT FRISØR Siw Merethe Gjelsvik,979124600,Torget 2,3181,HORTEN,
Skjønnhetspleie,A-NAILS AGNE BUKAUSKAITE,913140869,Sundvesvegen 22,5713,VOSSESTRAND,
Skjønnhetspleie,A-ROOM BEAUTY STUDIO ANASTASSIA RASTROGINA,917585202,Johan Scharffenbergs vei 99,0694,OSLO,
Skjønnhetspleie,A.M BRASIL ANTONIA MARIA ASSIS DE LIMA,918846425,Eråk 27,6888,BORGUND,
Skjønnhetspleie,A' DRONKA BEAUTY & ACCESSORIES,925829560,"U0101, Svartskjervegen 8",6017,ÅLESUND,
Skjønnhetspleie,A/B SALONGEN BENIGNA DEL CARMEN TRONCOSO,993342092,Prinsens gate 7,1530,MOSS,
Skjønnhetspleie,A&D STUDIO BY SKOTTE,927219263,"Bolignr., Kongens gate 9",6002,ÅLESUND,
Skjønnhetspleie,A&E LUXURY AS,925572241,Gamleveien 88,1461,LØRENSKOG,2020-07-15
Skjønnhetspleie,A&K BEAUTY ROOM AUSRA KOMAROVIENÉ,917500029,Spondalen 62,5121,ULSET,
Skjønnhetspleie,A&M BEAUTY POINT AS,936795161,Tøyengata 36A,0578,OSLO,2025-10-22
Skjønnhetspleie,A2 HUDKLINIKK AS,919394994,Nedre Korskirkeallmenningen 2,5017,BERGEN,2017-07-05
Skjønnhetspleie,AB.BEAUTY.NO BAIDAN,937172362,Vallageila 1,6153,ØRSTA,
Skjønnhetspleie,ABC.MOTE v/Gro Kristiansen,993034983,Martin Skatvedts vei 1,0950,OSLO,
Skjønnhetspleie,ABDUL HADI CREATIVE,930498629,Vollebekkveien 4A,0598,OSLO,
Skjønnhetspleie,ABDULRAHMAN RAED ABDULRAHMAN SERVICE,926390104,Steindiket 9,8023,BODØ,
Skjønnhetspleie,ABEAUTY STATKUTE,933176436,Høgeholvegen 52,4054,TJELTA,
Skjønnhetspleie,ABELLE BRIEDE,933312917,Kokkervika 22B,6057,ELLINGSØY,
Skjønnhetspleie,ABRAMCHENKO COSMETOLOGY,936062733,Søster Mathildes gate 45,1473,LØRENSKOG,
Skjønnhetspleie,ABSOLUTE DAY AS,932160420,Rådmann Paulsens gate 32,1461,LØRENSKOG,2023-09-01
Skjønnhetspleie,ABSOLUTT HUDPLEIE PW WEGIERSKA,918550895,Haldenveien 695,2016,FROGNER,
Skjønnhetspleie,ABYNAIL GIRNIUTE,930712418,Murabrauta 11,6062,BRANDAL,
Skjønnhetspleie,ACE BEAUTY KARI KRISTY CABRERA ACEVEDO,924535970,Øvre Holen 3,5163,LAKSEVÅG,
Skjønnhetspleie,ACTION BEAUTY AS,994266705,"c/o Elisabeth Sætrum, Fleslandsvegen 228",5258,BLOMSTERDALEN,2009-06-24
Skjønnhetspleie,AD FONTE KLINIKKEN AS,929270053,Nymoens torg 4A,3611,KONGSBERG,2022-04-01
Skjønnhetspleie,AD FONTE KLINIKKEN WELLE,912432483,Skolegata 11,3611,KONGSBERG,
Skjønnhetspleie,"AD LASHES BEAUTY, DITKUTE",928140415,Signalvegen 23,3734,SKIEN,
Skjønnhetspleie,ADA SALONG AGA,925364827,Inndalsveien 104,5063,BERGEN,
Skjønnhetspleie,ADEL NAILS,835545342,Tjernlia 44,1279,OSLO,
Skjønnhetspleie,ADELAINE KROGSÆTER MASKE OG HÅRDESIGNER,924593954,Løvåsbakken 11,5145,FYLLINGSDALEN,
Skjønnhetspleie,ADELE RAVN-MARTINUSSEN,936216765,Stortorget 5,9008,TROMSØ,
Skjønnhetspleie,ADELINA TODOR BEAUTY CENTER,927653273,Nedre Strandgate 35,6005,ÅLESUND,
Skjønnhetspleie,ADELISA SALIHBASIC,935411769,Vollakroken 9,1940,BJØRKELANGEN,
Tannleger,7 FJELL KJEVEORTOPEDI AS,925820148,Folke Bernadottes vei 38,5147,FYLLINGSDALEN,2020-09-30
Tannleger,A & S COMPOSITT AS,997887107,Bøveien 2,1389,HEGGEDAL,2012-01-05
Tannleger,A AFRIDI,927431416,Knut Alvssons vei 1,0574,OSLO,
Tannleger,A C HVOSLEF AS,991606351,Schiøtts vei 2B,0286,OSLO,2007-08-16
Tannleger,A. KARAMIPOURSHAMSABADI,817254292,Torggata 71,2317,HAMAR,
Tannleger,A. MAHMOOD TANNLEGE,934450647,Gamleveien 120D,1475,FINSTADJORDET,
Tannleger,A. VARRENG TANNKLINIKK AS,935114446,Stortorvet 5,1607,FREDRIKSTAD,2025-02-11
Tannleger,A1 TANNLEGEN KELLARI AS,996329534,Strømsbusletta 7B,4847,ARENDAL,2010-12-13
Tannleger,A1 TANNLEGEN KIRKEDAM AS,978634435,"c/o Arendal Tannklinikk AS, Åsbieveien 2",4848,ARENDAL,1997-06-05
Tannleger,ABC TANNKLINIKKEN AS,897039052,Olav Tryggvasons gate 24,7011,TRONDHEIM,2011-07-06
Tannleger,ABDELGHANI DENTAL,925685445,Smalgangen 25,0188,OSLO,
Tannleger,ABEDELFATTAH OMER,919640170,Herlaugsbakkane 57,5135,FLAKTVEIT,
Tannleger,ABELGÅRDEN TANNKLINIKK AS,980399621,"2. etasje, Falkenborgvegen 35C",7044,TRONDHEIM,1998-12-21
Tannleger,ABRA DENTAL AS,931185659,Trosterudstien 8E,0778,OSLO,2023-03-27
Tannleger,ABU ZAHU,937159722,Tåsenveien 99,0873,OSLO,
Tannleger,AC HOPLAND,932912430,Kvassnesvegen 28,5914,ISDALSTØ,
Tannleger,ACCEPT DENTAL AS,930081523,Stasjonsgata 70,3300,HOKKSUND,2022-09-09
Tannleger,ADAM ABRAHAM YOHANNES,918092447,"Storgata Tannklinikk, Storgata 39",0182,OSLO,
Tannleger,ADB OSLO PRIVATE TANNLEGEVAKT AS,989049135,Hansteens gate 3,0253,OSLO,2005-11-01
Tannleger,AESAR DENTAL AS,932366282,Sorgenfrigata 15A,0365,OSLO,2023-08-15
Tannleger,AETERNITUS INVEST AS,820272862,Tronesgeilen 9,4317,SANDNES,2018-01-02
Tannleger,AFAS 080426-03 AS,937572182,Kongens gate 49,8514,NARVIK,2026-04-08
Tannleger,AFH CONSULT AS,927582317,Ørebekk allé 8A,1624,GRESSVIK,2021-06-25
Tannleger,AFNAN DENTAL AS,997686977,Haugsåsen 50,1350,LOMMEDALEN,2011-10-27
Tannleger,AG AS,980882888,"c/o Harald Ag, Stuertvegen 19",9014,TROMSØ,1998-12-28
Tannleger,AGDER DENTAL AS,923202412,Storgaten 71,4877,GRIMSTAD,2019-07-21
Tannleger,AGER AS,989220608,Madlavollveien 18,4041,HAFRSFJORD,2005-12-16
Tannleger,AGNELL HOLDING AS,925278815,"c/o Olav Hoff Petersen, Ole Jacob Brochs gate 1B",0454,OSLO,2020-06-18
Tannleger,AGNES BIRGITTE WALTER RUTHERFORD,915591272,Glemmengata 8,1608,FREDRIKSTAD,
Tannleger,AGNES HORVATH,930734373,Frode Rinnans veg 92,7050,TRONDHEIM,
Tannleger,AGNETAS AS,926307975,"C/o Agneta Dalheim, Lumberodden 28",4621,KRISTIANSAND S,2020-11-01
Tannleger,AGUILA AS,917253781,Gloppegata 25,5529,HAUGESUND,2016-05-12
Tannleger,AHF EIENDOM AS,999582982,Ole Nordgaards veg 58,7049,TRONDHEIM,2013-01-02
Tannleger,AHMAD REZA GHARESSI,986058214,Åses vei 17,1336,SANDVIKA,
Tannleger,AHMET ADEMI,986167153,Rødstuveien 2,0572,OSLO,
Tannleger,AHMETI DENTAL,932519895,Nåkkves vei 5,0670,OSLO,
Tannleger,AHZ AS,929528387,Tjørnahaugvegen 13,5545,VORMEDAL,2022-06-22
Tannleger,AI DENTAL TEKNIKK AS,934153707,Langeløkka 12,3029,DRAMMEN,2024-06-27
Tannleger,AINI HOLDING AS,927628465,Edvinvegen 2,8664,MOSJØEN,2021-08-11
Tannleger,AISHA KAUSAR AS,937275463,Jerikoveien 1,1067,OSLO,2026-02-11
Tannleger,AISHA KAUSAR TANNKLINIKK,925429384,Elgtråkket 6D,1270,OSLO,
Tannleger,AJHT HOLDING AS,930372188,Torget 2,6413,MOLDE,2022-09-07
Tannleger,AJSELA HADZALIC,997841999,Otto Sogns vei 17,0681,OSLO,
Tannleger,AKARO AS,928349128,Terneveien 10,4621,KRISTIANSAND S,2021-10-28
Tannleger,AKEMI VIGEN,986729747,Helgesens gate 21,0553,OSLO,
Tannleger,AKER BRYGGE KJEVEORTOPEDI AS,921229097,"v/ Zachrisson, Grundingen 6",0250,OSLO,2018-06-24
Tannleger,AKERSGATA TANNLEGEKONTOR AS,929549600,Akersgata 51,0180,OSLO,2022-07-03
Tannleger,AKSB AS,936962289,Sofustrøa 4,7070,BOSBERG,2025-12-22
Tannleger,AKSDAL TANNKLINIKK AS,913899962,Aksdal Senter,5570,AKSDAL,2014-06-16
Rørleggere,123 EIENDOM HOLDING AS,934570219,Stokkedalen 134,5151,STRAUMSGREND,2024-11-13
Rørleggere,24/7 RØRLEGGERVAKTEN AS KONKURSBO,937417462,Lindeberg næringsvei 20,1067,OSLO,2026-03-24
Rørleggere,24/7 RØRLEGGERVAKTEN AVD ØSTFOLD AS,931077309,Jacobine Ryes vei 88,0987,OSLO,2023-03-15
Rørleggere,24/7 RØRLEGGERVAKTEN AVD. JÆREN AS,928143139,Fåhadlet 78,4160,FINNØY,2021-10-21
Rørleggere,24/7 RØRLEGGERVAKTEN AVD. STAVANGER AS,927497484,Fåhadlet 78,4160,FINNØY,2021-06-29
Rørleggere,24/7 RØRSERVICE AS,834521962,Tante Ulrikkes vei 57,0984,OSLO,2024-11-19
Rørleggere,24T OSLO RØRSERVICE AS,935028965,Nedre Skøyen vei 11,0276,OSLO,2025-01-22
Rørleggere,24T RØRSERVICE AS KONKURSBO,934589343,Nedre Skøyen vei 11,0276,OSLO,2024-12-03
Rørleggere,2KN RØR-SERVICE AS,917790558,"Kontorfellesskapet EXACTA Services, Akersgata 41",0158,OSLO,2016-09-08
Rørleggere,2TAL VVS Frank Hytten,990747865,Mor Smes veg 6H,2008,FJERDINGBY,
Rørleggere,3 CA HOLDING AS,988882461,Åsgårdstrandsveien 216,3153,TOLVSRØD,2005-10-31
Rørleggere,5 STARS VVS SERVICE AS,927110660,Hauketoveien 7B,1266,OSLO,2021-03-22
Rørleggere,6287 HOLDING AS,932574322,"c/o Mats Gjerdet, Solberg vestli 100",2020,SKEDSMOKORSET,2023-11-22
Rørleggere,69 GRADER RØR AS,931689533,Olderdalsveien 567,9146,OLDERDALEN,2023-05-28
Rørleggere,A & A POOL AS,913381742,Trondheimsveien 740,1481,HAGAN,2014-03-11
Rørleggere,A & JT FRIGSTAD HOLDING AS,925250473,Krittveien 77,4636,KRISTIANSAND S,2020-06-09
Rørleggere,A & S INVEST AS,924811749,Stauslandsveien 106C,4640,SØGNE,2020-02-11
Rørleggere,A ANDERSSONS RÖR AB,992458984,Ånnebol,,67040 ÅMOTFORS,
Rørleggere,A TEAM RØRLEGGER SERVICE SANDERUD,927857235,Nord-Odalsvegen 652,2100,SKARNES,
Rørleggere,A TITLESTAD AS,959643350,Dyngelandsvegen 102A,5226,NESTTUN,1991-01-03
Rørleggere,A W KARLSEN AS,991831495,Våleveien 29,3083,HOLMESTRAND,2007-10-12
Rørleggere,A-R HELGEMO HOLDING AS,917841012,"c/o Arnt Roar Helgemo, Singsås",7387,SINGSÅS,2016-09-21
Rørleggere,A-R HELGEMO VVS AS,932538121,Hindbjørgveien 4,7387,SINGSÅS,2023-10-30
Rørleggere,A-SPT PROTECTIVE SOLUTIONS GMBH,931722824,Zechenstrasse 4,,DE-45772 MARL,
Rørleggere,A. M. VIK AS,977458412,,6140,SYVDE,1997-03-31
Rørleggere,A.B. RØR AS,932257955,Sørskogvegen 8,4364,SIREVÅG,2023-09-29
