bransje,navn,orgnr,adresse,poststed,stiftet,alder
Frisør,0-STRESS FRISØR AS,923271805,Dragsundvegen 6,6080 GURSKØY,2019-06-28,7
Frisør,10NA'S FRISØR AS,818874502,Skytterveien 18,5038 BERGEN,2017-03-19,9
Frisør,2 ANNE FRISØR AS,997021126,Storgata 27B,4340 BRYNE,2011-05-26,15
Frisør,2ND FLOOR STUDIO AS,934144112,Breigata 16,4006 STAVANGER,2024-09-18,2
Frisør,3442 FRISØR AS,924571403,Lavaløkka 38,3442 HYGGEN,2020-01-30,6
Frisør,5T STYLE AS,926677845,Gamlevegen 89B,2615 LILLEHAMMER,2021-02-03,5
Frisør,A K DAME OG HERREFRISØR AS,825554432,Eggedalsveien 1500,3359 EGGEDAL,2020-08-09,6
Frisør,A M FRISØR AS,932747154,St. Olavs gate 31,0166 OSLO,2023-11-27,3
Frisør,A&H FRISØR AS,825604502,Skjettenveien 2B,1466 STRØMMEN,2020-08-08,6
Frisør,A2 FRISØR OG MULTISERVICE AS,834340372,Nermoan 23,7334 STORÅS,2024-10-03,2
Frisør,ABZINT FRISØR AS,997745051,Oscars gate 35B,0258 OSLO,2011-12-08,15
Frisør,ACE FRISØR AS,926924583,Lakkegata 52,0187 OSLO,2021-03-19,5
Frisør,ACE OF FADES AS,931613529,Sinsenterrassen 2,0574 OSLO,2023-05-01,3
Frisør,ACI FRISØR AS,912558207,Bergsnevvegen 62,8664 MOSJØEN,2013-09-23,13
Frisør,AD STUDIO AS,930577200,Hønengata 70,3515 HØNEFOSS,2022-10-07,4
Frisør,ADAM OG EVA GLASMAGASINET AS,921403356,Linaaes gate 1,0179 OSLO,2018-08-15,8
Frisør,ADAM OG EVA HOMANSBYEN AS,921332165,Professor Dahls gate 3,0355 OSLO,2018-08-07,8
Frisør,ADAM OG EVA JESSHEIM AS,912400344,Gardermovegen 6,2050 JESSHEIM,2013-06-03,13
Frisør,ADAM OG EVA PALEET AS,933488926,Karl Johans gate 37,0162 OSLO,2024-04-17,2
Frisør,ADAM OG EVA STRØGET AS,927258757,Torggata 11,0181 OSLO,2021-03-25,5
Frisør,ADAM OG EVA STRØMMEN AS,930540420,Støperiveien 5,2010 STRØMMEN,2022-11-02,4
Frisør,ADAMS FRISØR AS,932986515,Brøløsvegen 64A,3840 SELJORD,2024-01-13,2
Frisør,ADAR AS,925059854,Eliesons gate 4,3044 DRAMMEN,2020-05-01,6
Frisør,ADEMIN BEAUTY AS,934459962,Stillverksveien 26,2004 LILLESTRØM,2024-09-27,2
Frisør,AFRO HAIR & ART AS,997213637,Kongsgata 34,4005 STAVANGER,2011-06-11,15
Frisør,AFRO HAIR SHOP AS,933674304,Prinsens gate 36,7011 TRONDHEIM,2024-03-17,2
Frisør,AFRODITE FRISØR AS,930116300,Vikersundgata 21,3370 VIKERSUND,2022-09-19,4
Frisør,AFRODITE HÅRSTUDIO AS,998603870,"C/O FIKS FRISØRSALONG, Ole Tobias Olsens gate 2",8622 MO I RANA,2012-06-21,14
Frisør,AFTERGLOW SALON AS,933356175,"c/o Miriam Peyro Andresen, Tøllemovegen 85",3540 NESBYEN,2024-04-13,2
Frisør,AG'S HAGE AS,915716326,"c/o Kristiansen & Starheim, Jutulveien 29D",0853 OSLO,2015-07-20,11
Frisør,AGATHE STUDIO AS,933541347,Fjæregata 1,7067 TRONDHEIM,2024-05-27,2
Frisør,AGATON SAKS FRISØRER AS,917231680,Engerdalsveien 1789,2440 ENGERDAL,2016-05-09,10
Frisør,AGATON SAX ANDENES AS,917446636,Storgata 11,8480 ANDENES,2016-06-27,10
